filename,url,date,asn,country
2021012611_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210126/11/IR/urlgetter/2021012611_IR_urlgetter.n0.0.jsonl.gz,2021-01-26,AS62442,IR
2021012612_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210126/12/IR/urlgetter/2021012612_IR_urlgetter.n0.0.jsonl.gz,2021-01-26,AS62442,IR
2021012620_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210126/20/IR/urlgetter/2021012620_IR_urlgetter.n0.0.jsonl.gz,2021-01-26,AS62442,IR
2021012621_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210126/21/IR/urlgetter/2021012621_IR_urlgetter.n0.0.jsonl.gz,2021-01-26,AS62442,IR
2021012705_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210127/05/IR/urlgetter/2021012705_IR_urlgetter.n0.0.jsonl.gz,2021-01-27,AS62442,IR
2021012706_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210127/06/IR/urlgetter/2021012706_IR_urlgetter.n0.0.jsonl.gz,2021-01-27,AS62442,IR
2021012714_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210127/14/IR/urlgetter/2021012714_IR_urlgetter.n0.0.jsonl.gz,2021-01-27,AS58224,IR
2021012715_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210127/15/IR/urlgetter/2021012715_IR_urlgetter.n0.0.jsonl.gz,2021-01-27,AS62442,IR
2021012723_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210127/23/IR/urlgetter/2021012723_IR_urlgetter.n0.0.jsonl.gz,2021-01-27,AS62442,IR
2021012800_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210128/00/IR/urlgetter/2021012800_IR_urlgetter.n0.0.jsonl.gz,2021-01-28,AS62442,IR
2021012801_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210128/01/IR/urlgetter/2021012801_IR_urlgetter.n0.0.jsonl.gz,2021-01-28,AS62442,IR
2021012809_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210128/09/IR/urlgetter/2021012809_IR_urlgetter.n0.0.jsonl.gz,2021-01-28,AS62442,IR
2021012810_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210128/10/IR/urlgetter/2021012810_IR_urlgetter.n0.0.jsonl.gz,2021-01-28,AS62442,IR
